time_ms,adc_raw
0,221
1000,223
2000,223
3001,222
4001,221
5002,222
6002,219
7003,221
8003,220
9004,217
10004,218
11004,221
12005,221
13005,221
14006,219
15006,216
16007,218
17007,217
18008,215
19008,216
20008,216
21009,214
22009,216
23011,215
24011,216
25012,216
26012,215
27013,217
28013,217
29014,215
30014,216
31014,217
32015,215
33015,214
34016,216
35016,215
36017,215
37017,215
38018,215
39018,214
40019,215
41020,214
42020,214
43021,216
44021,215
45022,213
46022,213
47023,212
48023,212
49024,211
50024,213
51024,213
52025,210
53025,211
54026,210
55026,210
56028,211
57028,211
58029,212
59029,212
60029,209
61030,210
62030,209
63031,211
64031,211
65032,210
66032,210
67033,210
68033,210
69033,210
70034,211
71034,211
72036,211
73036,210
74037,209
75037,210
76038,210
77038,212
78039,210
79039,210
80039,210
81040,208
82040,210
83041,211
84041,208
85042,208
86042,209
87043,210
88044,211
89044,210
90045,209
91045,211
92046,210
93046,211
94047,209
95047,211
96048,210
97048,212
98049,214
99049,211
100049,210
101050,212
102051,210
103052,211
104052,211
105053,210
106053,213
107054,210
108054,211
109054,210
110055,211
111055,208
112057,209
113057,210
114058,209
115058,210
116059,208
117059,209
118060,209
119060,208
120060,208
121062,208
122062,208
123063,208
124063,209
125064,208
126064,208
127065,208
128065,207
129065,207
130066,207
131067,209
132068,208
133068,209
134069,208
135069,208
136070,209
137070,208
138071,208
139071,207
140072,209
141073,207
142073,207
143074,208
144074,209
145075,209
146075,209
147076,208
148076,210
149076,208
150078,209
151078,207
152079,210
153079,208
154080,208
155080,206
156081,209
157081,207
158082,209
159083,209
160083,208
161084,208
162084,208
163085,210
164085,208
165086,208
166086,208
167087,208
168087,209
169089,208
170089,208
171089,208
172090,208
173090,209
174091,208
175091,210
176092,207
177092,208
178094,209
179094,207
180094,218
181095,222
182095,224
183096,224
184096,226
185097,226
186097,227
187099,228
188099,229
189100,229
190100,229
191100,229
192101,231
193101,232
194102,232
195102,232
196103,232
197104,231
198105,232
199105,232
200105,232
201106,231
202106,231
203107,233
204107,232
205108,234
206109,234
207110,230
208110,226
209111,224
210111,223
211111,223
212112,222
213112,219
214113,218
215113,219
216115,217
217115,218
218116,216
219116,216
220116,216
221117,216
222117,217
223118,215
224118,214
225120,213
226120,215
227121,215
228121,214
229122,213
230122,214
231122,212
232123,212
233123,213
234124,213
235125,210
236126,213
237126,212
238127,211
239127,211
240128,212
241128,213
242128,210
243129,211
244130,211
245131,210
246131,211
247132,210
248132,210
249133,209
250133,209
251133,208
252134,209
253134,210
254136,210
255136,209
256137,209
257137,208
258138,211
259138,210
260139,209
261139,211
262139,209
263141,210
264141,211
265142,210
266142,210
267143,208
268143,210
269144,210
270144,208
271144,210
272145,209
273146,209
274147,209
275147,210
276148,209
277148,208
278149,209
279149,208
280150,208
281150,208
282151,208
283152,208
284152,208
285153,208
286153,209
287154,208
288154,207
289155,209
290155,207
291155,207
292157,208
293157,206
294158,209
295158,207
296159,208
297159,207
298160,207
299160,207
300161,208
301162,208
302162,207
303163,208
304163,208
305164,207
306164,208
307165,208
308165,208
309166,208
310166,209
311168,208
312168,206
313168,209
314169,208
